영단어|한국단어|설명
Fire Dangerous Zone|화재위험구역|NULL
Fire Detector|화재탐지기|화재의 발생과 징후를 탐지하는 기계
Fire Drill|소방훈련|선박화재시 각기 맡은 임무수행에 익숙하도록 승무원을 대상으로 실시하는 소방훈련
Fire Extinguisher|소화기(消火器|NULL
Fire Foam|소화거품|유류화재에 유효한 소화제로서 중탄산소다나 황산알루미늄을 기포제와 함께 섞은 것으로 적당한 압력으로 분사되도록 용기에 포장됨
Fire Hose Box|소화호스박스|NULL
Fire Insulation|방화재(防火材|NULL
Fire Prevention|화재 방지|NULL
Fire Protection|방화(防火|NULL
Fire Protection Construction|방화구조|화재가 다른 곳에 전파되는 것을 방지하는 구조
Fire Resistance Test|내화 시험(耐火試驗|NULL
Fire Retardant Paint|난연성(難燃性)페인트|NULL
Fire Retarding Material|난연재|잘 타지 않는 재료
Fire control plan|화재제어도|화재 발생 시 선박의 승무원 또는 육상소방요원이 신속하고 효율적인 조치를 위해 선박에서 사용되는 각종 소화설비, 방화설비 및 화재탐지장치 등의 배치를 나타내는 도면
Fire damper|방화 댐퍼|통풍 덕트에 설치되는 장치로서, 평상시에는 덕트 내에 공기가 흐를 수 있도록 열려 있다가, 화재 발생 시 화재의 전파를 제한하기 위하여 덕트 내의 공기의 흐름을 막을 수 있도록 폐쇄하는 장치
Fire detector|화재 탐지기|화재탐지 및 화재 신호를 통해 경보를 발생시키는 장치. 통상적으로 연기(smoke), 화염(flame), 열(heat)을 감지하여 작동됨
Fire-fighter’s outfits|소방원장구|선박에서 화재 발생 시 소화반이 화재를 진압할 때 사용하는 의복 및 호흡구. 방호복, 장화, 헬멧, 손전등, 소방도끼 및 자장식 호흡구 등으로 구성됨
Fire-proof(Fire-resisting) Test|내화시험|전선이 내화성 또는 내염성인 것을 확인하는 시험
Firebrick|내화(耐火) 벽돌|NULL
Firemain Line|소화용 주관(主管|NULL
Firing Order|착화순서|내연기관에서 실린더의 폭발순서
First Engineer|일등기관사|기관장을 보좌하여 기관부원을 지휘 통제하는 기관부 선임자
First-In First-Out Method|선입선출(先入先出)법|NULL
First-line Superviser|일선(一線) 감독자|NULL
Fish Finder|어군탐지기|음향탐지기의 일종으로 어군에 의한 반사음을 분석하여 어군을 찾아냄
Fish Meal Factory Ship|어류가공선|어획물을 가공하는 시설을 갖춘 선박
Fisheries Training Boat|어업실습선|실습생에게 어업훈련을 시키기 위한 연습선
Fishing Boat|어선(漁船|NULL
Fishing Gear|어구|고기잡이에 사용되는 도구의 총칭
Fishing Platform|낚시대판|낚시를 위한 대판
Fishing deck hand|어선의 갑판부원|어선에서의 갑판부원을 칭함
Fishing vessel|어선|어류, 고래류, 해초류, 해마류 또는 기타 해양생물자원을 포획하는데 사용하는 선박을 총칭함
Fishplaie|덧댐판|핸드레일 연결부에 붙이는 판
Fit and Weld|취부 및 용접|NULL
Fit-up|취부(取付|NULL
Fitting Length|취부장(取付長|NULL
Fitting Locker|선구고|갑판에서 필요한 작업에 쓰이는 용품과 선구를 보관하는 창고
Fitting Out Basin|의장부두|선대에서 진수된 배를 의장공사를 완성하기 위하여 배를 대는 부두
Fix Jig|고정 지그|NULL
Fixed Oil|불휘발성기름|대부분의 식물유 및 동물유처럼 건성 또는 반건성의 기름
Fixed Pitch Propeller|고정피치 프로펠러|날개가 허브에 고정된 프로펠러
Fixed carbon dioxide fire-extinguishing system|고정식 CO|화재가 발생한 장소에 CO 2 를 분사하여 화재를 진압하는 소화장치. 분사되는 장소의 산소 농도를 떨어뜨리며, 액상으로 보관되어 있던 CO 2 가 반출되면서 기화하여 배출되는 구역을 냉각시킴으로써 화재를 진압. 고압식(57.6bar)과 저압식(19.68bar)으로 구분되며 일반적으로 고압식은 선박의 기관구역, 저압식은 로로구역에 사용
Fixed dry chemical powder fire-extinguishing system|고정식 분말 소화장치|화재가 발생한 장소에 분말 소화제(dry chemical powder)를 방출하여 급격한 흡열 반응으로 열을 흡수하며, 또한 비 가연성의 성질을 가지는 분말의 부피가 팽창하여 화재를 덮어 씌움으로써 산소의 공급을 차단하여 화재를 진압할 수 있는 소화장치. 주로 액화가스 산적운반선(LNG Carrier)에 설치됨
Fixture|고정구(固定具|NULL
Flag Locker|기상자|신호기를 수납하는 상자
Flag Rack|기서랍|기를 넣어두는 서랍
Flag State|기국|기국은 선박의 국적 국가를 지칭하며, 상선의 국적은 등록으로 결정되며, 국가마다 국적 부여의 조건은 스스로 결정하게 되어있음
Flag State Control|기국 통제|유엔(UN) 산하 전문기구인 국제해사기구(IMO)에서는 선박, 선원의 안전과 환경보호를 위한 각종 국제 해사 협약을 채택 시행하고 있으며, 선박의 기국(Flag State)은 자국의 선박이 국제협약에 정하는 기준을 준수하도록 관리 및 통제하여야 할 의무가 있음
Flag State Surveyor|기국 검사관|기국은 안전 및 해양오염 방지와 관련된 업무를 관리, 수행 및 검증하는 모든 인원에 대한 책임 및 권한을 지니고 있음. 이에 따라 기국은 국제규정에 따른 선박과 회사에 대한 검사를 시행해야 함
Flag State investigation|기국 조사|해양안전 조사는 사고 관련 분야에 대해 적절한 자격이 있고 지식이 많은 공정하고 객관적인 조사관에 의해 수행되어야 하며, 기국은 사건/사고의 위치와 관계없이 기국 차원에서 자격 있는 조사관을 파견하여야 함
Flakes|백점|강재의 다듬질면에 생기는 미세한 균열
Flaking|플레이킹|NULL
Flame Adjustment|불꽃조정|가스용접시에 용접조건에 맞게 불꽃을 조절하는 것
Flame Annealing|불꽃어닐링|기름버너나 가스버너를 이용한 풀림열처리
Flame Cone|불꽃심|가스블꼴 중 토치 입구부근의 청백색부분
Flame Cutting|불꽃절단|연소가스 불꽃의 열을 이용하여 절단하는 것
Flame Cutting|화염절단(火炎切斷|NULL
Flame Failure|실화(失火|NULL
Flame Gouging|불꽃홈파기|특수한 모양의 토치로 가스불꽃을 이용하여 U형상의 골을 파는 것
Flame Hardening|불꽃경화|가스불꽃의 열에 의하여 금속의 표면을 경화시키는 방법
Flame Machining|불꽃절삭|특수한 모양의 토치를 사용하여 부재를 가열 절삭하는 것
Flame Planer|플레임 플레이너|NULL
Flame Planer|플레임플래너|자동가스절단기의 일종으로 여러 줄을 동시에 직선 절단할 수 있음
Flame Screen|차염(遮炎) 스크린|NULL
Flammable Vapour|가연성(可燃性) 증기|NULL
Flanged Bracket|플랜지브래킷|브래킷의 자유변에 플랜지로 접어준 보강브래킷
Flanged Edge Weld|플랜지끝용접|플랜지와 관의 끝을 연결하는 필릿 또는 에지용접
Flap|플랩|수중날개의 뒤끝에 붙여 움직일 수 있게 힌지로 연결된 보조날개
Flap Door|덮개문|문짝의 윗변에 힌지가 붙은 문
Flare-up Light|불꽃|불꽃를 내는 신호염으로 위급시나 경보용으로 사용됨
Flash|섬광|NULL
Flash Fillet Weld|평면필릿용접|용접 비드가 튀어나오지 않고 납작하게 되도록 덧살(Reinforcement)을 붙이지 않는 필릿용접
Flash Point|인화점(引火點|NULL
Flash Tester|인화점시험기|인화점 측정에 사용되는 시험기
Flashing Light|섬광등|해상충돌예방규정에 따라 설치되는 섬광등(120회/분 이상의 섬광을 보냄)으로 포마스트 앞쪽에 설치됨
Flashing Light Signal|섬광신호|섬광등을 이용한 신호
Flashing Light for Vessel Carrying Dangerous Cargo|위험물적재선박표시등|위험물 수송선박에 다는 등기구
Flat Bar|평형강|NULL
Flat Bar Grating|평강격자|평강으로 만든 틀에 평강 살을 끼워 만든 격자
Flat Bottom|평저|평편한 모양의 배바닥
Flat Panel Base|평판(平板) 베이스|NULL
Flat Position Welding|아래보기 용접|NULL
Flat(Downward) Position|아래보기자세|수평으로 전개된 용접선을 아래로 내려보고 하는 용접자세
Flattner`s Rudder|플래트너식러더|보통의 평형타 뒤에 작은 보조타를 붙인 모양의 타
Fleet|함대|두 척 이상의 군함으로 편성된 해상부대
Fleming's Lefthand Rule|플레밍의 왼손법칙|NULL
Flexibility|유연성|물체의 변형하기 쉬운 성질
Flexible Budget|변동 예산(變動豫算|NULL
Flexible Hose|플랙시블(신축) 호스|NULL
Flexible Joint|플렉시블조인트|굴곡과 신축이 가능한 관 또는 축의 이음
Flexible Manufacturing|다품종 소량 생산 시스템|NULL
Flexible Mounting|플렉시블 설치(設置|NULL
Flexible Pipe Joint|플렉시블관이음쇠|굴곡과 신축이 가능한 관 이음쇠
Float Free Launching|부양이탈진수|침몰선에서 따로 예비된 생존정을 자동으로 분리시켜 띄워주는 진수방식
Float Gauge|플로트액면계|액면의 변화대로 움직이는 플로트로 수위를 측정하는 계기
Float Time|공정 여유(餘裕)시간|NULL
Float Valve|플로우트 밸브|NULL
Floating Dock|부양식 독|양단이 열려있고 큰 범위로 부침되는 갑판 위에 선박을 올리거나 내릴 수 있게 만든 부양체로서 선박수리에 필요한 크렌설비 등도 갗춘 이동식 독
Floating Dock|부양식(浮揚式) 도크|NULL
Floating Floor|플로팅 플로어|NULL
Floating Gate Amplifier|부동 게이트 증폭기|NULL
Flood Gate|수문|독의 입구를 막아주는 문
Flood Light|투광등(投光燈|NULL
Floodable Length|가침장|선박의 어떤 길이의 구획이 부력을 잃고 침수되어도 배의 침하가 한계선 이하로 일어나지 않는 길이
Flooding Calculation|침수계산|배가 손상되어 침수되었을 때의 여러 가지 경우에 대한 선체복원성과 자세 등을 계산하는 것
Flooding Test|충수(充水)범람시험|NULL
Flooding Test|침수시험|선체의 수면아래 구획에 해수를 채워서 누수여부를 확인하는 시험
Floodlighting Projector|프로젝터|반사경과 렌즈 등을 사용하여 일정한 방향으로 높은 광도로 비춰주는 조명기구
Floor|늑판|선저의 횡늑골 위치에 붙는 가로부재
Floor Plate|늑판(肋板|NULL
Floor Plate|바닥판|마루바닥을 구성하는 목재 또는 강판
Floor Space|바닥면적|선원 및 여객거주에 사용되는 바닥 면적
Floor Timber|늑재목|목선에 붙이는 횡방향의 내부 각재
Flooring|플루어링|바닥에 깔아주는 마무리 재료 또는 작업
Flow|흐름|유체의 운동현상
Flow Chart|흐름도표|NULL
Flow Diagram|경로도(經路圖|NULL
Flow Measurement|유량측정(流量 測定|NULL
Flow Meter|유량계(流量計|NULL
Flow Pattern|유동가공방식|소재의 가공공정순서 대로 기계를 배치하여 소재의 이동과 작업진행을 일치시킴으로 능률을 높이는 공작방식
Flue Gas|연소(燃燒) 가스|NULL
Fluid|유체|기체와 액체의 총칭
Fluid Fire Exyinguisher|액체소화기|용기내 혼합액에서 발생하는 탄산가스의 압력으로 물과 함께 분사되는 소화기
Fluidborne Noise|유체전달 소음(騷音|NULL
Fluorescent Lamp|형광등(螢光燈|NULL
Fluorescent Paint|형광(螢光) 페인트|NULL
Flush Weld|평용접|용접 비드가 모재표면보다 올라오지 않도록 덧살(Reinforcement)을 붙이지 않은 맞대기용접
Flushing|플러싱|배관의장작업이 끝난 후 관 내부의 잔유물을 불어내기 위하여 압축공기나 증기 등으로 청소하는 것
Flux|플럭스|NULL
Flux Changes per Inch|매 인치 당 자속 반전수|NULL
Flux Injection (Powder) Gas Cutting|용융재취입식(분말식)가스절단|철분을 가스절단 토치주변에 분사하여 높은 철의 산화열로 금속(비철금속)을 용융 절단하는 방법
Flux and Reflux|조수(潮水)의 간만|NULL
Flying Bridge|항해선교(航海船橋|NULL
Flying Spot Scanner|비점 주사 장치|NULL
Flywheel|플라이휘일|NULL
Flywheel|플라이휠|왕복동기관의 회전수를 고르게 하기 위하여 축에 붙이는 관성모멘트가 큰 바퀴
Foam Fire Extinguisher|포말 소화기|NULL
Foam Monitor|포말 분사장치|NULL
Fog Signal|무중신호|안개 등으로 해상시계가 줄어든 경우에 선박이나 해상기가 충돌예방으로 내는 경보음
Folding Lavatory|접는세면대|사용하지 않을 때는 접어서 격납하는 세면대
Following Operation|후속 공정(後續工程|NULL
Following Sea|추파|배의 진행방향과 입사파의 진행방향이 같거나 거의 비슷한 상태
Food Wastes|음식 쓰레기|NULL
Foot Valve|흡입측 역류방지밸브|NULL
Force Majeure|불가항력|협약상 불가항력은 협약을 이행할 수 없는 예측 불가능하고, 회피 불가능하고, 극복 불가능한 상황을 지칭함. 대부분 국제협약 조문에서 불가항력 경우의 협약 적용에 관해 명시함
Force Majeure / Act of God|불가항력(不可抗力|NULL
Force Pump|압상펌프|펌프가 있는 위치보다 높은 곳에 양수하는 것을 목적으로 하는 펌프
Forced Circulation|강제순환|NULL
Forced Draft|강제통풍|송풍기로 공기를 화로에 강제적으로 불어넣는 통풍방식
Forced Draft Fan|강제통풍(强制通風)팬|NULL
Fore Block|선수(船首) 블록|NULL
Fore Body|선수부|선체중앙에서 앞쪽에 위치한 선체의 총칭
Fore Cant Frame|선수방사형늑골|선수부외판에 직각으로 붙도록 부채꼴로 붙이는 늑골
Fore Construction|선수구조(船首構造)도|NULL
Fore Perpendicular|선수수선|배의 만재흘수선과 선수재외면이 만나는 점을 지나는 수직선
Fore Poppet|선수포펫|선대진수시 선미부양으로 인한 선수부의 순간적인 집중하중을 분산시키기 위한 완충 보호 구조로 목재가 사용됨
Forebody|전부선체(前部 船體|NULL
Forecastle Bulkhead|선수루후단격벽|선수루 후단에 위치한 수밀격벽
Forecastle Deck (F'cle Dk|선수루(船首樓) 데크|NULL
Forecastle 【|항해】앞갑판((군함의))옛적 그리스 혹은 이집트가 지중해에서 이름을 날릴 시절..그들의 선박의 선수부는 유난히 위로 돌출되어 있었으니..그것을 보고 앞쪽의 성.. Forecastle이라 하였다.이 부분은 특히 상대선과 근접한 상황에서 위에서 활을 쏘거나 창을 던질수 있도록 하여승리에서 이기도록 하였다 한다.|NULL
Foreign Matter|이물질(異物質|NULL
Foremast|선수(船首) 마스트|NULL
Forepeak Tank|선수탱크|선수트림을 조절하기 위해 선수창을 물로 채우는 탱크
Foreward(fwd|선수방향(船首方向|NULL
Forge and Bellow|풀무|대장간에 쓰는 가열로에 바람을 보내는 왕복동 송풍장치
Forged Steel|단조강(鍛造鋼|NULL
